timestamp,mode,x,y,z,r
344000,100,0.0,0.0,0.5,0.0
368000,100,0.0,0.0,0.5,0.0
404000,100,0.0,0.0,0.5,0.0
448000,100,0.0,0.0,0.5,0.0
484000,100,0.0,0.0,0.5,0.0
508000,100,0.0,0.0,0.5,0.0
556000,100,0.0,0.0,0.5,0.0
588000,100,0.0,0.0,0.5,0.0
620000,100,0.0,0.0,0.5,0.0
668000,100,0.0,0.0,0.5,0.0
692000,100,0.0,0.0,0.5,0.0
724000,100,0.0,0.0,0.5,0.0
760000,100,0.0,0.0,0.5,0.0
796000,100,0.0,0.0,0.5,0.0
828000,100,0.0,0.0,0.5,0.0
876000,100,0.0,0.0,0.5,0.0
908000,100,0.0,0.0,0.5,0.0
956000,100,0.0,0.0,0.5,0.0
988000,100,0.0,0.0,0.5,0.0
1020000,100,0.0,0.0,0.5,0.0
1068000,100,0.0,0.0,0.5,0.0
1100000,100,0.0,0.0,0.5,0.0
1132000,100,0.0,0.0,0.5,0.0
1168000,100,0.0,0.0,0.5,0.0
1200000,100,0.0,0.0,0.5,0.0
1232000,100,0.0,0.0,0.5,0.0
1268000,100,0.0,0.0,0.5,0.0
1304000,100,0.0,0.0,0.5,0.0
1336000,100,0.0,0.0,0.5,0.0
1384000,100,0.0,0.0,0.5,0.0
1416000,100,0.0,0.0,0.5,0.0
1464000,100,0.0,0.0,0.5,0.0
1480000,100,0.0,0.0,0.5,0.0
1512000,100,0.0,0.0,0.5,0.0
1564000,100,0.0,0.0,0.5,0.0
1596000,100,0.0,0.0,0.5,0.0
1628000,100,0.0,0.0,0.5,0.0
1684000,100,0.0,0.0,0.5,0.0
1716000,100,0.0,0.0,0.5,0.0
1748000,100,0.0,0.0,0.5,0.0
1784000,100,0.0,0.0,0.5,0.0
1816000,100,0.0,0.0,0.5,0.0
1864000,100,0.0,0.0,0.5,0.0
1896000,100,0.0,0.0,0.5,0.0
1928000,100,0.0,0.0,0.5,0.0
1976000,100,0.0,0.0,0.5,0.0
2008000,100,0.0,0.0,0.5,0.0
2040000,100,0.0,0.0,0.5,0.0
2088000,100,0.0,0.0,0.5,0.0
2124000,100,0.0,0.0,0.5,0.0
2156000,100,0.0,0.0,0.5,0.0
2188000,100,0.0,0.0,0.5,0.0
2220000,100,0.0,0.0,0.5,0.0
2252000,100,0.0,0.0,0.5,0.0
2300000,100,0.0,0.0,0.5,0.0
2336000,100,0.0,0.0,0.5,0.0
2384000,100,0.0,0.0,0.5,0.0
2416000,100,0.0,0.0,0.5,0.0
2448000,100,0.0,0.0,0.5,0.0
2496000,100,0.0,0.0,0.5,0.0
2528000,100,0.0,0.0,0.5,0.0
2560000,100,0.0,0.0,0.5,0.0
2608000,100,0.0,0.0,0.5,0.0
2640000,100,0.0,0.0,0.5,0.0
2708000,100,0.0,0.0,0.5,0.0
2756000,100,0.0,0.0,0.5,0.0
2792000,100,0.0,0.0,0.5,0.0
2840000,100,0.0,0.0,0.5,0.0
2872000,100,0.0,0.0,0.5,0.0
2904000,100,0.0,0.0,0.5,0.0
2952000,100,0.0,0.0,0.5,0.0
2984000,100,0.0,0.0,0.5,0.0
3016000,100,0.0,0.0,0.5,0.0
3064000,100,0.0,0.0,0.5,0.0
3096000,100,0.0,0.0,0.5,0.0
3128000,100,0.0,0.0,0.5,0.0
3176000,100,0.0,0.0,0.5,0.0
3208000,100,0.0,0.0,0.5,0.0
3240000,100,0.0,0.0,0.5,0.0
3292000,100,0.0,0.0,0.5,0.0
3324000,100,0.0,0.0,0.5,0.0
3372000,100,0.0,0.0,0.5,0.0
3404000,100,0.0,0.0,0.5,0.0
3436000,100,0.0,0.0,0.5,0.0
3484000,100,0.0,0.0,0.5,0.0
3516000,100,0.0,0.0,0.5,0.0
3548000,100,0.0,0.0,0.5,0.0
3596000,100,0.0,0.0,0.5,0.0
3628000,100,0.0,0.0,0.5,0.0
3660000,100,0.0,0.0,0.5,0.0
3700000,100,0.0,0.0,0.5,0.0
3736000,100,0.0,0.0,0.5,0.0
3784000,100,0.0,0.0,0.5,0.0
3816000,100,0.0,0.0,0.5,0.0
3848000,100,0.0,0.0,0.5,0.0
3896000,100,0.0,0.0,0.5,0.0
3928000,100,0.0,0.0,0.5,0.0
3960000,100,0.0,0.0,0.5,0.0
4008000,100,0.0,0.0,0.5,0.0
4036000,100,0.0,0.0,0.5,0.0
4068000,100,0.0,0.0,0.5,0.0
4148000,100,0.0,0.0,0.5,0.0
4188000,100,0.0,0.0,0.5,0.0
4228000,100,0.0,0.0,0.5,0.0
4268000,100,0.0,0.0,0.5,0.0
4308000,100,0.0,0.0,0.5,0.0
