timestamp,x,y,z,r
7387200,-0.0020228131068,-0.01029907378,-0.009417286615,
7496000,-0.001889330812,-0.0098130225,-0.009530336129999999,
7607600,-0.0017945108580000003,-0.0091572252,-0.00918733185,
7726400,-0.0016598992950000002,-0.008600125454000001,-0.00929792434,
7848400,-0.00129338683,-0.00808886419,-0.00969764939,
7968000,-0.0011828202900000002,-0.007293732265,-0.009420013376,
8077200,-0.00134748865,-0.006892285802,-0.00985403726,
8198000,-0.00127486113,-0.0065300976120000005,-0.01086279305,
8327200,-0.00122384538,-0.00572630193,-0.01093457437,
8438400,-0.0011405123036999998,-0.0048486452613,-0.01075650262,
8547200,-0.0010480115699999998,-0.00431994537,-0.01099186611,
8668000,-0.00095893479,-0.004059728658,-0.01179919065,
8767200,-0.00087863421,-0.003558995327,-0.01225174726,
8876800,-0.0007889037799999999,-0.002973721215,-0.012558385239999999,
8996400,-0.0007385890699999998,-0.002626005336,-0.0128500002,
9138400,-0.0008217396700000001,-0.002333686155,-0.01342636461,
9246000,-0.0009089199,-0.0021840053144,-0.01377700102,
9366800,-0.00083950355,-0.0020550688844,-0.01431509875,
9478400,-0.0009021639300000001,-0.0016309466007,-0.01442112669,
9598000,-0.0005145223999999999,-0.0008698656046,-0.01595271565,
9696800,-0.00031577515500000005,-0.000563577966,-0.016665521830000002,
9818800,-5.876589999999988e-06,-0.0003270660999999999,-0.01726276705,
9947200,8.412545999999994e-05,-7.058600599999998e-05,-0.0183998031,
10056400,0.0001872028899999999,2.8507775999999918e-05,-0.0194012194,
10157200,0.00013643353999999994,0.000141708765,-0.0195679687,
10278000,9.595094999999995e-05,0.000316339669,-0.01912026414,
10396000,0.0003408824799999998,0.0006028622459999999,-0.019567226,
10516000,0.00045661042300000013,0.000492929158,-0.01988004155,
10648800,0.0004325855840000002,0.000541289393,-0.02055274695,
10758800,0.0003674360000000002,0.00082740035,-0.0214181067,
10868800,0.00042052200999999996,0.00082381779,-0.02218925695,
10977200,0.0005404749099999999,0.00085048178,-0.0229618093,
11086800,0.00042416984000000007,0.00092526195,-0.0242743706,
11206000,0.0002467381700000001,0.0009741144800000001,-0.02465711285,
11317200,6.646658000000017e-05,0.0009710617060000001,-0.025333176399999997,
11446800,-9.093988399999997e-05,0.001261421265,-0.0263514503,
11577200,-0.0001674990930000001,0.00106877117,-0.026574519,
11687600,-0.0002564467899999998,0.0010274396100000002,-0.02747438685,
11797600,-0.0003826334180000001,0.00107358546,-0.0272314399,
11895600,-0.0005777046255000001,0.001081950736,-0.0276292904,
12027200,-0.000997795638,0.0013388318999999998,-0.028790691,
12146400,-0.00183343686,0.00155855049,-0.0282928851,
12256400,-0.00246555549,0.001667925155,-0.0288500878,
12366400,-0.002996806844,0.00181871188,-0.0305011778,
12486400,-0.00349365064,0.00220082368,-0.03182251715,
12607200,-0.0039518287700000005,0.0024879113499999997,-0.0327802847,
12716400,-0.004250646001,0.00278110857,-0.0340627613,
12848400,-0.0044230087599999995,0.00323728259,-0.0360369255,
12955600,-0.00448085912,0.003299864356,-0.036532225,
13096400,-0.004850155286,0.0033877508470000002,-0.038670856999999996,
13198400,-0.00500886119,0.003640114595,-0.0403561334,
13307600,-0.005244230769,0.003737127413,-0.0414853156,
13427600,-0.005362975064,0.0035174765662,-0.0423535085,
13538400,-0.00565884066,0.0037322738069999997,-0.0441491014,
13656400,-0.0058141054671,0.0039895513479999995,-0.0454020572,
13777200,-0.006014603217,0.00430990027,-0.0470293261,
13885600,-0.0061097312769999995,0.00462130331,-0.0491063923,
13987200,-0.006173590733,0.0048660101,-0.050762553200000005,
14147600,-0.005942288772,0.0054548717699999996,-0.052866526999999996,
14247200,-0.005549332293,0.006102065495,-0.0541618309,
14357200,-0.00419270427,0.0073520706848,-0.0553656338,
14468400,-0.00342085849,0.007706691555,-0.0566808961,
14587200,-0.00272218432,0.007722302866,-0.0569151613,
14706400,-0.00208622466,0.0072555401468000005,-0.0537319683,
14828400,-0.00219655532,0.006948655985000001,-0.05287000782,
14937200,-0.00233578573,0.0067890684528,-0.0495416426,
15047200,-0.00232512171,0.006292707832,-0.039510509400000005,
15166800,-0.0018833387300000001,0.00658219419,-0.0350898827,
15287600,-0.0008842712999999998,0.007659619351,-0.028479534,
15397600,-0.0007025121199999998,0.006680178659999999,-0.011248081200000003,
15518400,-0.00037120653,0.0060562511049999995,-0.0024934919999999965,
15636800,-0.00011207630000000008,0.005178366468,0.006677059300000001,
15757600,0.0004161572499999999,0.003187485617,0.029637864799999993,
15857600,0.00067898353,0.002018262026,0.0418395179,
15978400,0.00139440237,0.00092413039,0.0634840755,
16087600,0.0019430597,-2.383038000000014e-05,0.0772138927,
16217600,0.00223363678,-0.00173707718,0.0991408003,
16336400,0.0029479220599999997,-0.002627016858,0.123475714,
16447200,0.0031951049299999996,-0.003356206644,0.1394661333,
16557600,0.00322393412,-0.00392864835,0.16351574630000001,
16687200,0.0044455228,-0.0026330135029999997,0.1863888215,
16786400,0.00486980431,-0.002279408211,0.2017075711,
16896400,0.005007008770000001,-0.0022482767339999997,0.2178035162,
17017200,0.0050303521300000004,-0.0019568065,0.2498908589,
17147200,0.0045597084,-0.0022894749020000004,0.2689620593,
17268400,0.00386851702,-0.0024634653145,0.294175364,
17377600,0.0034793241,-0.001994200038,0.3225103668,
17476400,0.0032572962500000005,-0.00055923,0.34114396199999997,
17616400,0.0049626353299999995,0.0022500902,0.371608834,
17726400,0.00639257215,0.005094122108,0.3922794736,
17837200,0.007371582200000001,0.0076919897039999996,0.422456263,
17955600,0.0063144502,0.012683309824,0.4504368354,
18058400,0.005452543815,0.015483008349999999,0.4767073563,
18176400,0.00352892164,0.017368779946,0.5202833992,
18317200,-0.0011973834500000002,0.020243850687999998,0.5646802363,
18417200,-0.003578724449999999,0.021934799943999998,0.5995393783999999,
18527600,-0.0078964261,0.025622332344,0.6398922961,
18646400,-0.00968669503,0.027030786202,0.6903569466,
18778400,-0.011730872879999998,0.026726539736,0.7549170546,
18887600,-0.015724583400000002,0.029395581974,0.8023162875000001,
19007600,-0.019773455550000003,0.031033921059999997,0.862318795,
19117600,-0.02309528475,0.03269774106,0.9200903585,
19227600,-0.02866290237,0.037270399409,0.972351054,
19346800,-0.0329570563,0.039717828367,1.0300918685,
19467600,-0.0391458326,0.04396084059,1.0889407785,
19586400,-0.042858324600000004,0.049351405774,1.150233232,
19706400,-0.045944922,0.052752467404,1.2170989481,
19826400,-0.0501605433,0.058691588278,1.279786532,
19948400,-0.0549269924,0.066090311684,1.344527986,
20046400,-0.0573933669,0.072847809975,1.3950773299,
20167200,-0.06088017715,0.08801442544,1.454481296,
20276400,-0.064728725715,0.10010808123,1.505018489,
20396400,-0.06631524787000001,0.11224157751,1.5705504386,
20517200,-0.06797061155,0.13753565603,1.631511304,
20637600,-0.07014984466,0.1534869518,1.696595025,
20747600,-0.07379698505,0.17220028223,1.748992493,
20868400,-0.0749089562,0.20399456239,1.80982717305,
20967600,-0.07683572725,0.22202993462,1.8598169134,
21096400,-0.0788198163,0.25500582919,1.923012853,
21226400,-0.0819606113,0.27277414973,1.988576803,
21327600,-0.08431581113,0.28963058656400004,2.037288356,
21448400,-0.08643301809,0.320875361371,2.0909620060000003,
21557200,-0.08883634414700001,0.348943888013,2.1382151245,
21678400,-0.09195435628,0.37415586599,2.192502416,
21788400,-0.09276926559,0.41190910740000003,2.2400148705,
21917600,-0.09605430734,0.45364401796000003,2.295273789,
22028400,-0.09805192927,0.48473829918,2.341434889,
22147200,-0.09967663409000001,0.531893897973,2.3905409083999998,
22257600,-0.10483037819999999,0.56948724136,2.4381970263,
22377600,-0.1042318829,0.6335211584,2.4890919723,
22488400,-0.1098232075,0.6703549226000001,2.5339235496,
22597600,-0.1146154241,0.7068924731,2.5763446815999997,
22718400,-0.11298742690000001,0.7583609464700001,2.6209781359999997,
22846400,-0.1167040212,0.8092560028,2.67189483,
22958400,-0.1184936451,0.8474490809999999,2.71315856,
23067200,-0.111344535144,0.9001847045000001,2.756611023,
23186400,-0.1119849621,0.9594024338,2.802745344,
23296400,-0.1130112686,1.0034822515,2.8420088,
23417600,-0.1065315424,1.0669999024,2.885262826,
23528400,-0.1069603514,1.1182071037999999,2.923701756,
23658400,-0.09742657310000001,1.1984043156,2.969162414,
23767600,-0.0935316762,1.26371708425,3.00592618,
23868400,-0.08901122630000001,1.3173023316699999,3.039874894,
24018400,-0.0749373249,1.40574294931,3.08742183,
24116800,-0.06783342480000001,1.4590334046,3.1203766,
24228000,-0.0591796689,1.5309292011,3.15716025,
24338000,-0.043127352900000006,1.6024905421,3.19431371,
24458000,-0.029801081900000005,1.6780855023,3.23398246,
24578000,-0.020284656999999994,1.75435141064,3.27104267,
24708000,0.0018294966000000057,1.86024340417,3.3136359,
24818000,0.020765592200000006,1.95023065799,3.35203981,
24928000,0.04432075464999998,2.04120210036,3.39062574,
25036800,0.05756208597,2.1353516,3.42978424,
25146800,0.07046031569999998,2.22501538316,3.46680485,
25288000,0.10531234670000002,2.36731596403,3.51561274,
25398000,0.12422886693,2.4778730391,3.55533069,
25498000,0.14272362299999997,2.57677441895,3.5913862,
25628000,0.18117659270000003,2.7174420444,3.63678397,
