timestamp,mode,x,y,z,r
2332000,100,0.0,0.0,0.5,0.0
2380000,100,0.0,0.0,0.5,0.0
2512000,100,0.0,0.0,0.5,0.0
2728000,100,0.0,0.0,0.5,0.0
2924000,100,0.0,0.0,0.5,0.0
3116000,100,0.0,0.0,0.5,0.0
3292000,100,0.0,0.0,0.5,0.0
3488000,100,0.0,0.0,0.5,0.0
3732000,100,0.0,0.0,0.5,0.0
3912000,100,0.0,0.0,0.5,0.0
4112000,100,0.0,0.0,0.5,0.0
4312000,100,0.0,0.0,0.5,0.0
4512000,100,0.0,0.0,0.5,0.0
4716000,100,0.0,0.0,0.5,0.0
4912000,100,0.0,0.0,0.5,0.0
5116000,100,0.0,0.0,0.5,0.0
5312000,100,0.0,0.0,0.5,0.0
5516000,100,0.0,0.0,0.5,0.0
5712000,100,0.0,0.0,0.5,0.0
5912000,100,0.0,0.0,0.5,0.0
6112000,100,0.0,0.0,0.5,0.0
6316000,100,0.0,0.0,0.5,0.0
6524000,100,0.0,0.0,0.5,0.0
6724000,100,0.0,0.0,0.5,0.0
6912000,100,0.0,0.0,0.5,0.0
7112000,100,0.0,0.0,0.5,0.0
7316000,100,0.0,0.0,0.5,0.0
7512000,100,0.0,0.0,0.5,0.0
7712000,100,0.0,0.0,0.5,0.0
7912000,100,0.0,0.0,0.5,0.0
8108000,100,0.0,0.0,0.5,0.0
8312000,100,0.0,0.0,0.5,0.0
8516000,100,0.0,0.0,0.5,0.0
8712000,100,0.0,0.0,0.5,0.0
8908000,100,0.0,0.0,0.5,0.0
9108000,100,0.0,0.0,0.5,0.0
9308000,100,0.0,0.0,0.5,0.0
9512000,100,0.0,0.0,0.5,0.0
9708000,100,0.0,0.0,0.5,0.0
9908000,100,0.0,0.0,0.5,0.0
10112000,100,0.0,0.0,0.5,0.0
10308000,100,0.0,0.0,0.5,0.0
10512000,100,0.0,0.0,0.5,0.0
10708000,100,0.0,0.0,0.5,0.0
10908000,100,0.0,0.0,0.5,0.0
11108000,100,0.0,0.0,0.5,0.0
11312000,100,0.0,0.0,0.5,0.0
11512000,100,0.0,0.0,0.5,0.0
11708000,100,0.0,0.0,0.5,0.0
11912000,100,0.0,0.0,0.5,0.0
12112000,100,0.0,0.0,0.5,0.0
12312000,100,0.0,0.0,0.5,0.0
12508000,100,0.0,0.0,0.5,0.0
12708000,100,0.0,0.0,0.5,0.0
12912000,100,0.0,0.0,0.5,0.0
13108000,100,0.0,0.0,0.5,0.0
13312000,100,0.0,0.0,0.5,0.0
13508000,100,0.0,0.0,0.5,0.0
13708000,100,0.0,0.0,0.5,0.0
13912000,100,0.0,0.0,0.5,0.0
14108000,100,0.0,0.0,0.5,0.0
14308000,100,0.0,0.0,0.5,0.0
14512000,100,0.0,0.0,0.5,0.0
14712000,100,0.0,0.0,0.5,0.0
14908000,100,0.0,0.0,0.5,0.0
15108000,100,0.0,0.0,0.5,0.0
15304000,100,0.0,0.0,0.5,0.0
15504000,100,0.0,0.0,0.5,0.0
15704000,100,0.0,0.0,0.5,0.0
15904000,100,0.0,0.0,0.5,0.0
16116000,100,0.0,0.0,0.5,0.0
16320000,100,0.0,0.0,0.5,0.0
